[2025-09-03 13:21:13] Starting parallel SMTP processing with MAX_WORKERS=200
[2025-09-03 13:30:03] Started worker 62 for 477 emails
[2025-09-03 13:30:03] Started worker 63 for 477 emails
[2025-09-03 13:30:03] Started worker 64 for 477 emails
[2025-09-03 13:30:03] Started worker 65 for 477 emails
[2025-09-03 13:30:03] Started worker 66 for 477 emails
[2025-09-03 13:30:03] Started worker 67 for 477 emails
[2025-09-03 13:30:03] Started worker 68 for 477 emails
[2025-09-03 13:30:03] Started worker 69 for 477 emails
[2025-09-03 13:30:03] Started worker 70 for 477 emails
[2025-09-03 13:30:03] Started worker 71 for 477 emails
[2025-09-03 13:30:03] Started worker 72 for 477 emails
[2025-09-03 13:30:03] Started worker 73 for 477 emails
[2025-09-03 13:30:03] Started worker 74 for 477 emails
[2025-09-03 13:30:03] Started worker 75 for 477 emails
[2025-09-03 13:30:03] Started worker 76 for 477 emails
[2025-09-03 13:30:03] Started worker 77 for 477 emails
[2025-09-03 13:30:03] Started worker 78 for 477 emails
[2025-09-03 13:30:03] Started worker 79 for 477 emails
[2025-09-03 13:30:03] Started worker 80 for 477 emails
[2025-09-03 13:30:03] Started worker 81 for 477 emails
[2025-09-03 13:30:03] Started worker 82 for 477 emails
[2025-09-03 13:30:04] Started worker 83 for 477 emails
[2025-09-03 13:30:04] Started worker 84 for 477 emails
[2025-09-03 13:30:04] Started worker 85 for 477 emails
[2025-09-03 13:30:04] Started worker 86 for 477 emails
[2025-09-03 13:30:04] Started worker 87 for 477 emails
[2025-09-03 13:30:04] Started worker 88 for 477 emails
[2025-09-03 13:30:04] Started worker 89 for 477 emails
[2025-09-03 13:30:04] Started worker 90 for 477 emails
[2025-09-03 13:30:04] Started worker 91 for 477 emails
[2025-09-03 13:30:04] Started worker 92 for 477 emails
[2025-09-03 13:30:04] Started worker 93 for 477 emails
[2025-09-03 13:30:04] Started worker 94 for 477 emails
[2025-09-03 13:30:04] Started worker 95 for 477 emails
[2025-09-03 13:30:04] Started worker 96 for 477 emails
[2025-09-03 13:30:04] Started worker 97 for 477 emails
[2025-09-03 13:30:04] Started worker 98 for 477 emails
[2025-09-03 13:30:04] Started worker 99 for 477 emails
[2025-09-03 13:30:04] Started worker 100 for 477 emails
[2025-09-03 13:30:04] Started worker 101 for 477 emails
